gene_name,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
SLC13A2,11.75352613,13.5615468,10.19329935,10.44957808,10.61380411,12.90057951,9.013277551,10.28807887,13.36516876,11.10984222,12.49050603,12.35370103
GAS7,13.29245793,13.06155643,13.17973033,12.81229743,12.04196063,12.32806502,13.08830692,13.89971323,12.49814668,8.637035826,8.06134225,6.881554547
TRAPPC6A,37.62938678,55.18741154,51.51192105,50.50587253,43.96229888,39.52877225,46.74732055,46.20364039,44.82032012,44.2124494,49.4212809,39.29774529
MATK,0.20362427,0.243983808,0.0764109,0.175194182,0.258580021,0.245300955,0.065062817,0.184382163,0.125536562,0.16342026,0.050194043,0
CEACAM7,0,0,0.238362838,0,0.134439518,0.127535539,0,0,0,0,0,0
CD79B,0,0,0,0.348535348,0.342950041,0.976014763,0,0,0.124872667,0.162556019,0,0.613123685
SCN4A,0.136292972,0.081653524,0.153433607,0,0.12980761,0.041047165,0.13064658,0.092560159,0.094529351,0.205093121,0.10078998,0.077356379
ST7L,5.057523245,4.731745187,3.704722369,3.576485073,4.398964507,4.423444642,3.851834348,5.928382279,5.317715147,4.587175267,3.586385436,4.168152135
TKTL1,4.938648911,3.913197672,3.586934826,4.317647195,5.361147544,5.757545964,3.970492573,5.842394075,4.567095609,5.178188319,4.417958398,4.973152975
PAX6,0.040825487,0.032611561,0,0.140501676,0.069125063,0.016393807,0.026089436,0.018483778,0.075508062,0.294883344,0.352226526,0.231714945
