,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000139899,1.125619557,1.132926974,1.113715051,0,1.101236397,0,0.74415235,0,2.230782305,1.020998103,0,1.042819821
ENSG00000139908,0,0,0,0,1.101236397,0,0,0.741655781,0.743594102,2.041996206,0,0
ENSG00000139914,0,0,0,6.634889188,6.607418381,3.313385292,1.488304699,0,0.743594102,0,3.133340605,12.51383786
ENSG00000139921,32.64296715,35.12073621,35.63888162,4.423259459,6.607418381,4.417847055,14.88304699,13.34980406,12.64109973,13.27297534,11.48891555,6.256918929
ENSG00000139926,63.03469518,61.17805662,62.36804284,27.64537162,34.1383283,29.82046762,34.23100808,35.59947749,34.20532868,35.73493361,33.42229979,35.45587393
ENSG00000139946,0,0,0,3.317444594,4.404945588,4.417847055,0.74415235,0.741655781,0.743594102,2.041996206,3.133340605,3.128459464
ENSG00000139971,0,0,0,4.423259459,4.404945588,3.313385292,0.74415235,1.483311562,0.743594102,8.167984826,4.177787474,9.385378393
ENSG00000139974,2.251239114,2.265853949,1.113715051,1.105814865,0,0,0.74415235,2.224967343,1.487188203,1.020998103,1.044446868,1.042819821
ENSG00000139977,20.26115202,20.39268554,20.04687091,13.26977838,18.72101875,18.77584999,26.04533224,31.89119858,29.00016996,24.50395448,19.8444905,18.77075679
ENSG00000139988,218.370194,200.5280745,210.4921446,15.4814081,13.21483676,14.35800293,7.441523497,5.191590467,5.948752813,43.90291844,71.02238705,40.66997304
ENSG00000139990,31.51734759,32.85488226,31.18402142,35.38607567,41.84698308,44.17847055,53.57896918,47.46596999,52.79518122,32.6719393,33.42229979,36.49869375
ENSG00000139998,1.125619557,1.132926974,1.113715051,14.37559324,11.01236397,12.1490794,21.58041814,17.05808296,17.10266434,8.167984826,13.57780929,13.55665768
ENSG00000140006,13.50743468,16.99390462,16.70572576,3.317444594,5.506181985,2.208923528,3.720761748,5.933246248,4.46156461,3.06299431,3.133340605,2.085639643
ENSG00000140022,19.13553247,20.39268554,20.04687091,32.06863107,27.53090992,26.50708233,30.51024634,25.95795234,25.28219946,35.73493361,31.33340605,38.58433339
ENSG00000140025,2.251239114,2.265853949,2.227430102,0,0,1.104461764,0.74415235,0,0.743594102,0,1.044446868,1.042819821
ENSG00000140043,5.628097784,6.797561847,4.454860203,1.105814865,2.202472794,2.208923528,2.976609399,1.483311562,1.487188203,2.041996206,2.088893737,2.085639643
ENSG00000140044,2.251239114,2.265853949,2.227430102,5.529074323,5.506181985,6.626770583,25.30117989,22.99132921,26.02579356,4.083992413,5.222234342,4.171279286
ENSG00000140092,0,0,0,1.105814865,2.202472794,2.208923528,0,0,0,0,1.044446868,0
ENSG00000140104,9.004956455,7.930488821,8.909720406,6.634889188,5.506181985,3.313385292,5.209066448,4.449934686,7.435941016,8.167984826,7.311128079,3.128459464
ENSG00000140105,69.78841253,72.50732636,70.1640482,44.23259459,39.64451029,29.82046762,58.78803562,60.07411826,65.43628094,34.71393551,35.51119353,31.28459464
ENSG00000140153,18.00991291,16.99390462,16.70572576,71.8779662,79.28902058,78.41678523,34.23100808,31.89119858,30.48735817,72.49086533,68.93349332,72.9973875
ENSG00000140157,59.65783651,62.31098359,55.68575254,29.85700135,28.63214632,18.77584999,69.20616852,62.29908561,76.59019247,52.07090326,44.91121534,49.01253161
ENSG00000140199,18.00991291,19.25975857,20.04687091,26.53955675,28.63214632,34.23831468,14.88304699,14.09145984,15.61547613,30.6299431,33.42229979,38.58433339
