,X,baseMean,log2FoldChange,lfcSE,pvalue,padj
1049,ENSG00000155755,7.780673606,-1.534225469,0.725277961,0.00860977,0.026456206
534,ENSG00000118257,3.544794014,-2.21298347,1.229799069,0.008710949,0.026707643
82,ENSG00000065057,3.992219863,-2.231204467,1.277330818,0.009137009,0.027810041
86,ENSG00000065328,2.722279548,-2.71408145,1.833604015,0.009175281,0.027895765
1172,ENSG00000163807,8.832041205,-1.443179706,0.67758988,0.009236732,0.028027024
1156,ENSG00000163328,2.538305228,-2.69242839,1.695670131,0.009475209,0.02861223
385,ENSG00000108389,16.0752245,-1.106603349,0.480923067,0.009519096,0.028707063
256,ENSG00000100526,4.85924171,-2.049376083,1.19944262,0.010443517,0.031047077
246,ENSG00000100297,4.052000521,-1.96770465,1.11577555,0.010693997,0.031662124
22,ENSG00000014138,3.039529235,-2.339056029,1.5026819,0.011138511,0.032816281
203,ENSG00000090971,6.114351865,-1.802976909,0.991325027,0.011198933,0.032952085
1053,ENSG00000156011,5.716324856,-1.638214439,0.855856281,0.01169594,0.034203005
123,ENSG00000073060,13.48873106,-1.170384899,0.539130833,0.012101817,0.035188596
469,ENSG00000114200,1.867663959,-1.165708466,2.301688614,0.012185128,0.035401004
960,ENSG00000146918,3.809558087,-1.982152002,1.175671611,0.012274473,0.035621449
1192,ENSG00000164654,17.74557174,-1.025466198,0.457641392,0.012323885,0.035715705
847,ENSG00000139278,2.598340864,-2.445720505,1.582326769,0.012601914,0.036382093
29,ENSG00000019186,5.419994244,-2.11789452,1.244389645,0.012641903,0.036475459
207,ENSG00000091986,3.779160257,-1.896737409,1.116610696,0.012787991,0.036842228
893,ENSG00000142945,6.625029536,-1.573249981,0.829168869,0.013050634,0.037502578
305,ENSG00000103811,3.533438467,-2.030209213,1.236764884,0.013084192,0.037577908
182,ENSG00000088386,3.447163362,-2.162547782,1.361168743,0.013314704,0.03813676
6,ENSG00000005448,5.226631629,-1.716777413,0.974302225,0.013761039,0.039171274
557,ENSG00000120149,14.65681713,-1.108137438,0.515885239,0.013776234,0.039198358
1136,ENSG00000162645,8.247004844,-1.961905339,1.091959002,0.013822802,0.039306546
994,ENSG00000149212,12.21854483,-1.155057082,0.547705023,0.014226646,0.040264092
1101,ENSG00000159455,17.76288878,-1.284258893,0.634136906,0.014398287,0.040691452
925,ENSG00000144199,2.074383841,-2.391153053,2.175325076,0.014403486,0.040697811
828,ENSG00000137968,3.697297615,-1.858769027,1.142257861,0.01474446,0.04151674
816,ENSG00000137642,6.714140662,-1.518726004,0.810907541,0.01496571,0.042036801
376,ENSG00000107968,15.3042171,-1.169600565,0.563040924,0.014997033,0.042102175
94,ENSG00000066279,3.561804747,-2.052538855,1.285575063,0.01515136,0.042437337
698,ENSG00000131233,1.991478446,-2.323995898,2.094432944,0.015421552,0.043097898
664,ENSG00000128708,18.60467996,-1.007231052,0.465949368,0.015425281,0.04309959
302,ENSG00000103544,15.94088882,-1.154688929,0.555385939,0.015655661,0.043637271
866,ENSG00000140525,5.445329571,-1.54434662,0.852133736,0.015746107,0.043871648
