,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
ENSG00000203879,95.0938225,105.0258124,103.6042426,102.4502419,107.35844,103.2084589,104.9201442,103.9055434,104.9048643,104.8868463,104.9115063,103.3312825
ENSG00000203880,13.58483179,12.11836297,12.82719194,13.79137872,12.57351099,11.46760655,12.86756486,13.98728469,11.87602237,12.71355713,11.5402657,12.3997539
ENSG00000203896,21.34759281,33.32549816,30.58791925,28.56785591,29.01579459,29.62465024,26.72494239,25.97638586,28.70038739,30.72442974,30.42433684,29.96607192
ENSG00000203907,0.970345128,0,0,0.98509848,0.967193153,0.955633879,1.979625362,0.999091764,0,0,1.049115063,0
ENSG00000203910,1.940690255,3.029590742,0.986707073,3.940393919,2.901579459,2.866901637,2.969438044,1.998183528,1.979337062,4.237852377,2.098230127,4.133251299
ENSG00000203950,72.77588457,92.90744941,87.81692946,80.77807533,80.27703171,81.2288797,81.16463986,76.93006582,74.22513981,63.56778566,67.14336406,66.13202078
ENSG00000203965,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,0.955633879,0.989812681,0.999091764,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203985,0,1.009863581,0.986707073,0.98509848,0.967193153,0,0,0,0,1.059463094,1.049115063,1.033312825
ENSG00000203993,14.55517691,12.11836297,15.78731316,15.76157567,14.5078973,15.29014206,13.85737754,16.98455999,14.84502796,14.83248332,12.58938076,15.49969237
ENSG00000203995,7.762761021,8.078908644,6.906949508,5.910590878,8.704738378,7.645071031,5.938876087,5.994550583,7.917348246,9.535167849,7.343805444,9.299815422
ENSG00000203999,1.940690255,2.019727161,1.973414145,0.98509848,1.934386306,2.866901637,1.979625362,2.997275292,2.969005592,3.178389283,2.098230127,2.066625649
